Feature,Importance
num__OverallQual,0.5017391257307129
num__GrLivArea,0.15368515197336055
num__GarageCars,0.0420243507186444
num__TotalBsmtSF,0.03513928050782169
num__BsmtFinSF1,0.03349216162367241
num__1stFlrSF,0.029450663207420926
num__2ndFlrSF,0.027656372218511475
num__LotArea,0.018394351448294637
num__YearBuilt,0.017774911221150214
cat__BsmtQual_Ex,0.015935119546812954
num__FullBath,0.011333934931386838
num__Fireplaces,0.011289853356417285
num__YearRemodAdd,0.010584203082724902
cat__KitchenQual_Ex,0.007610607806594048
cat__GarageType_Attchd,0.006607291812498655
num__ScreenPorch,0.006528309288659548
num__OverallCond,0.006436631337933052
num__GarageYrBlt,0.005521775079171961
cat__KitchenQual_Gd,0.004726987007022115
cat__CentralAir_N,0.0041857882717242926
num__GarageArea,0.0037904063190936344
cat__MSZoning_RM,0.0035763252025644934
cat__BsmtQual_Gd,0.00345788820022663
cat__SaleType_New,0.00286598854412821
cat__LandContour_Lvl,0.00272241063262762
cat__BsmtFinType1_GLQ,0.0026388755827299122
cat__Condition1_Norm,0.0022920727298972546
num__PoolArea,0.002289496736192512
cat__Neighborhood_Edwards,0.0022210594216349514
num__LotFrontage,0.002039888441901966
cat__BsmtExposure_Gd,0.0016980972943624565
num__BsmtFullBath,0.0016598435204104405
cat__Exterior1st_BrkFace,0.0013518274911514007
num__OpenPorchSF,0.0013023913146320636
cat__Neighborhood_Crawfor,0.0011485388518315959
num__WoodDeckSF,0.001078505458777101
cat__SaleCondition_Abnorml,0.0009466672138935617
num__BsmtUnfSF,0.0009125618350059443
cat__Functional_Typ,0.000861919821233999
num__MSSubClass,0.0007720504557491648
cat__Neighborhood_StoneBr,0.0007100520411528986
cat__LotConfig_CulDSac,0.0006345387459528365
num__HalfBath,0.0006290361651273518
num__MoSold,0.0006185255272210474
num__MasVnrArea,0.000576679356573511
num__KitchenAbvGr,0.0004554194663647674
cat__LotShape_IR3,0.0004481491958179915
cat__CentralAir_Y,0.00043906751613315175
num__Id,0.000402473889870355
cat__BldgType_1Fam,0.000363639929824358
num__BsmtFinSF2,0.0003356722067962
cat__MasVnrType_NoMasonryVeneer,0.00027882427640098673
cat__LotShape_Reg,0.0002544151190060252
cat__LandContour_HLS,0.00021604483160915522
num__BedroomAbvGr,0.00021405700896124836
num__YrSold,0.00019952314328273445
num__EnclosedPorch,0.0001657681762798316
